"번호","이름","용도","생성초","편집목표초","BPM","Key","박자","Seed","대체Seed1","대체Seed2","파일명"
"1","작은 나무상자","상자","10","2.5~3.5","108","C major","4/4","41101","42101","43101","fq-chest-01-musicbox"
"2","비눗방울 상자","상자","10","2.5~3.5","112","F major","4/4","41102","42102","43102","fq-chest-02-bubbles"
"3","반딧불 상자","상자","10","2.5~3.5","96","G major","4/4","41103","42103","43103","fq-chest-03-fireflies"
"4","종이새 상자","상자","10","2.5~3.5","104","C major","3/4","41104","42104","43104","fq-chest-04-paperbird"
"5","작은 우주 상자","상자","10","2.5~3.5","100","F major","4/4","41105","42105","43105","fq-chest-05-tinyspace"
"6","바다유리 상자","상자","10","2.5~3.5","92","G major","4/4","41106","42106","43106","fq-chest-06-seaglass"
"7","여행책 한 장","발견","10","0.5~0.9","88","C major","4/4","41201","42201","43201","fq-discover-01-page"
"8","지도에 톡","발견","10","0.4~0.8","96","F major","4/4","41202","42202","43202","fq-discover-02-mapdot"
"9","깃발이 살랑","발견","10","0.5~0.9","84","G major","4/4","41203","42203","43203","fq-discover-03-breeze"
"10","조약돌 반짝","정답","10","0.7~1.2","108","C major","4/4","41301","42301","43301","fq-correct-01-pebble"
"11","작은 햇살","정답","10","0.8~1.3","100","F major","4/4","41302","42302","43302","fq-correct-02-sunpatch"
"12","스티커가 쏙","수집","10","1~1.6","100","C major","4/4","41401","42401","43401","fq-sticker-01-bookmark"
"13","오늘 여행 마침","여정","10","3~4","88","F major","4/4","41501","42501","43501","fq-finish-01-homeward"
"14","지도 펼치기","여정","10","1~1.5","96","G major","4/4","41502","42502","43502","fq-start-01-openmap"
"15","새 길 열기","수집","10","2~2.8","104","C major","4/4","41402","42402","43402","fq-level-01-newpath"
"16","조용한 지도방","배경","30","20~30","76","C major","4/4","41601","42601","43601","fq-home-01-quietatlas"
