"code","kind","koApprove","subjectEn","inCapital","override유무","substitutedFrom","status","tries","생성일"
"ad","symbol","빨간 소 두 마리","A single pair of red cows standing one above the other, each with four legs, small curved horns, blue hooves and a blue collar with one bell.","false","Y","","approved-image","1","2026-09-15"
"ae","symbol","달라 주전자","A single Arabian dallah coffee pot, a tall matte brass body with a long curved beak-shaped spout, one looping handle and a domed hinged lid with a pointed finial.","false","N","","approved-image","1","2026-09-15"
"af","symbol","석류","A single pomegranate cut into two adjoining halves, with deep red skin, cream inner membranes, tightly packed ruby seeds and a small crown-shaped calyx.","false","N","","approved-image","1","2026-09-15"
"af","landmark","밴드아미르 호수","A single compact Band-e Amir lake landscape, deep blue water held in stepped white limestone basins between tall reddish cliffs, with distinct curved mineral rims separating the turquoise pools.","false","Y","","approved-image","1","2026-09-15"
"ag","symbol","블랙 파인애플","A single Antigua black pineapple, a squat ripe fruit with dark green and golden diamond scales, topped by a compact crown of long pointed green leaves.","false","N","","approved-image","1","2026-09-15"
"ag","landmark","바닷가 돌다리","A single limestone sea arch at Devil's Bridge, one low horizontal rock span joining two coastal ledges above blue waves, with a clearly visible dark opening underneath.","false","Y","","approved-image","1","2026-09-15"
"al","symbol","머리 둘 독수리","A single black eagle silhouette with exactly two heads facing opposite directions, two broadly spread wings, two clawed feet and one fan-shaped tail centered below its body.","false","Y","","approved-image","2","2026-09-15"
"al","landmark","베라트 옛 마을","A single Berat hillside neighborhood, six white houses tightly stacked along a steep green slope, their red tiled roofs beneath broad projecting upper floors filled with dark square window grids.","false","Y","","approved-image","1","2026-09-15"
"am","symbol","살구","A single ripe apricot opened into two adjoining halves, with orange skin, one rosy red cheek, soft golden flesh and one large brown stone exposed in the center.","false","N","","approved-image","1","2026-09-15"
"ao","symbol","세이블영양","One giant sable antelope stands on four slim legs, its black body contrasting with a white belly and separate white facial patches beneath two long ridged horns sweeping backward.","false","N","","approved-image","2","2026-09-15"
"ao","landmark","붉은 흙 절벽","One red earthen cliff at Miradouro da Lua has deep vertical rain carved grooves and pointed ridges, a flat brown plateau above and a narrow blue Atlantic strip far below.","false","Y","","approved-image","1","2026-09-15"
"ar","symbol","금색 해","A single golden sun disk with sixteen straight rays alternating with sixteen wavy rays, a simple calm carved expression and a warm yellow center surrounded by orange edges.","false","Y","","approved-image","4","2026-09-15"
"ar","landmark","페리토 모레노 빙하","A single Perito Moreno glacier front, a broad blue ice wall with jagged vertical ridges and pointed crests, meeting dark turquoise water with three small fallen ice chunks.","false","N","","approved-image","1","2026-09-15"
"at","symbol","에델바이스","A single edelweiss flower with a star of seven pointed woolly white bracts surrounding five tiny golden flower heads, held above three narrow grey green leaves on one short stem.","false","N","","approved-image","1","2026-09-15"
"at","landmark","빈 대관람차","A single Vienna Giant Ferris Wheel, a tall circular metal wheel with slender spokes and fifteen red rectangular wooden cabins, supported by two wide triangular legs above a small plain base.","true","Y","","approved-image","2","2026-09-15"
"au","symbol","캥거루","A single kangaroo leaping forward with two large hind feet, a long balancing tail and small front paws, carrying one joey peeking from its belly pouch.","false","N","","approved-image","1","2026-09-15"
"au","landmark","울루루","A single Uluru rock seen from a distance, one broad low red sandstone mass with a rounded summit, shallow vertical grooves and a narrow orange desert base.","false","Y","","approved-image","1","2026-09-15"
"az","symbol","천연가스 불꽃","A single small natural gas flame rising from a low grey rocky mound, with three rounded orange tongues surrounding a warm yellow center and a tiny blue base.","false","Y","","approved-image","1","2026-09-15"
"az","landmark","메이든 타워","A single Baku Maiden Tower, a broad grey-beige stone cylinder with a smooth flat parapet, horizontal ridged bands around its upper half and a small arched doorway.","false","Y","","approved-image","2","2026-09-15"
"ba","symbol","보스니아 백합","A single Bosnian lily hanging from one curved green stem, six unspotted golden yellow petals curling strongly backward around six slender stamens, with narrow green leaves along the stem.","false","Y","","approved-image","2","2026-09-15"
"ba","landmark","모스타르 돌다리","A single Mostar stone bridge, one high pale limestone arch spanning a narrow turquoise river, its steep curved walkway joining two short stone towers on opposite rocky banks.","false","Y","","approved-image","1","2026-09-15"
"bb","symbol","날치","A single silver blue flying fish above one curved blue wave, with two broad winglike pectoral fins spread outward and a deeply forked tail trailing behind.","false","N","","approved-image","1","2026-09-15"
"bb","landmark","해리슨 동굴","A single cutaway view of Harrison's Cave, pale hanging limestone stalactites above rising stone columns and one shallow turquoise pool, all enclosed beneath a rounded rocky ceiling.","false","N","","approved-image","1","2026-09-15"
"bd","symbol","벵골호랑이","A single Bengal tiger standing on four paws, with an orange coat, bold black stripes, a white muzzle and belly, rounded ears and a long striped tail.","false","N","","approved-image","1","2026-09-15"
"bd","landmark","순다르반스","A single Sundarbans mangrove grove, three green trees rising from shallow brown water, with tangled arching roots, exposed muddy banks and a narrow winding tidal channel.","false","Y","","approved-image","1","2026-09-15"
"be","symbol","와플","A single golden rectangular Belgian waffle with a thick crisp rim and twelve deep square pockets arranged in three rows of four, shown whole without toppings or utensils.","false","N","","approved-image","1","2026-09-15"
"bf","symbol","무늬 흙집 벽","One thick earthen house wall has a rounded corner and small dark doorway, its solid clay surface painted with bold black, white and red handmade geometric patterns.","false","Y","","approved-image","1","2026-09-15"
"bf","landmark","신도우 바위","One connected group of Sindou sandstone pinnacles rises into tall narrow pointed spires, with reddish brown weathered sides, deep dark crevices and uneven jagged tops above a small earthy base.","false","Y","","approved-image","1","2026-09-15"
"bg","symbol","분홍 장미","A single pink rose on one short green stem, many soft rounded petals curled into a dense spiral center and opening outward above two serrated dark green leaves.","false","N","","approved-image","1","2026-09-15"
"bg","landmark","릴라 줄무늬 회랑","A single Rila Monastery courtyard corner, two levels of rounded arches striped alternately black and white beneath red tiled eaves, enclosing a small empty pale stone courtyard.","false","Y","","approved-image","1","2026-09-15"
"bh","symbol","진주","A single large pearl, a smooth almost spherical ivory bead with a softly curved outline, a pale pink undertone and gentle cream shading across its rounded shell surface.","false","N","","approved-image","1","2026-09-15"
"bh","landmark","생명의 나무","A single Bahrain Tree of Life, a spreading green tree with a thick twisted brown trunk, long low horizontal branches and a broad irregular canopy above pale desert sand.","false","Y","","approved-image","1","2026-09-15"
"bi","symbol","커다란 왕실 북","One large Burundian royal drum has a hollow rounded wooden body, a wide pale hide head stretched across its top and short wooden pegs securing the skin around its rim.","false","N","","approved-image","1","2026-09-15"
"bj","symbol","오토바이 택시","One small motorcycle taxi carries a rider in a plain bright yellow shirt and smooth helmet, seen directly from behind, above two black wheels and a narrow seat.","false","Y","","approved-image","1","2026-09-15"
"bj","landmark","간비에 물 위 마을","One Ganvie village scene shows three small wooden houses lifted on long timber stilts, their simple pitched roofs above calm blue lake water with the supporting posts clearly visible below.","false","Y","","approved-image","1","2026-09-15"
"bn","symbol","노란 왕실 우산","A single yellow royal parasol, a wide golden canopy with a scalloped edge, short hanging tassels, one tall pointed finial and one straight slender pole beneath its center.","false","N","","approved-image","1","2026-09-15"
"bn","landmark","캄퐁 아예르","A single compact Kampong Ayer water village, three colorful wooden houses with pitched roofs standing on slender brown stilts, connected by narrow raised walkways above calm blue water.","true","Y","","approved-image","1","2026-09-15"
"bo","symbol","라마","A single llama with a long upright neck, cream wool, tall curved ears and four slender legs, carrying two small woven packs secured across its back.","false","N","","approved-image","1","2026-09-15"
"bo","landmark","우유니 소금사막","A single Salar de Uyuni salt flat, a broad white expanse covered by a thin still water layer, reflecting pale blue sky and three white clouds across a low horizon.","false","Y","","approved-image","1","2026-09-15"
"br","symbol","큰부리새","A single toucan perched on one short branch, with a black body, cream throat and a very large orange yellow bill ending in a dark patch.","false","N","","approved-image","1","2026-09-15"
"br","landmark","설탕빵 산","A single Sugarloaf Mountain, one tall rounded grey granite dome with steep smooth sides and green vegetation near its base, rising directly above a small patch of blue sea.","false","Y","","approved-image","1","2026-09-15"
"bs","symbol","홍학","A single pink flamingo standing on one long slender leg, its curved neck forming an S and its pale hooked bill ending in a black downward tip.","false","N","","approved-image","1","2026-09-15"
"bt","symbol","하얀 용 드룩","A single white Bhutanese dragon, with a long winding body, four short legs, curved horns, a flowing mane, a curled tail and a closed gentle mouth.","false","N","","approved-image","1","2026-09-15"
"bt","landmark","탁상 사원","A single Taktsang monastery complex clinging to a steep grey cliff, with white walls, dark red wooden upper bands, golden curved roofs and narrow terraces projecting from the rock.","false","Y","","approved-image","1","2026-09-15"
