code,ko,대륙,상징물,카테고리,선정근거,예비1,예비2,명소,명소도시,명소등급,수도에있음,기존fact재사용,위험,상태
ae,아랍에미리트,아시아,아라비아 커피를 따르는 달라 주전자(긴 부리 모양 주둥이),만든것,3순위 · 국장 한가운데가 황금 매. 매사냥이 유네스코 무형유산,매사냥 장갑 위에 앉은 매(국장 한가운데의 황금 매),알 사둘 — 빨강·검정 기하무늬를 짜 넣은 낙타털 띠(유네스코 무형유산),,,,,,부르즈 할리파는 2010년 완공 + 상표라 명소를 비웠다 — 되살리지 말 것. 매↔카자흐스탄 독수리 혼동 쌍은 카자흐스탄을 사과로 돌리고 kz 예비1도 사이가 영양으로 바꿔 해소했으므로 국장 근거인 매를 예비1로 되찾는다 — 다만 al 쌍두·us 흰머리수리·zm 물수리·ec 콘도르와 맹금 혼동군이라 quiz.js에서 같은 판 배제. 달라 주전자는 om·kw 예비에서 값째로 뺐다(승격 금지 메모는 파이프라인이 지키지 않는다),final
af,아프가니스탄,아시아,반으로 갈라 붉은 알이 드러난 석류,먹을거리,5순위 · 국기 문양은 모스크(종교)라 제외. fact에 이미 있는 힌두쿠시 라피스라줄리 — 6천 년간 이 땅에서만 나던 파란 보석,둥글넓적하게 구워 골무늬를 낸 아프간 난 빵,힌두쿠시 만년설 봉우리,"붉은 절벽 사이, 하얀 석회 둑이 계단처럼 층져 짙푸른 물이 담긴 밴드아미르 호수",바미안,B,,아프가니스탄의 힌두쿠시산맥에서는 파란 보석 라피스라줄리가 아주 오래전부터 나왔어요.,국기 흰 문양은 모스크·미나렛이라 종교 근접으로 상징물에서 제외함. 명소는 호수라 키르기스스탄 이식쿨과 4세에게 유사 — 밴드아미르는 절벽 사이 계단식 물빛으로 차별화 필요,final
am,아르메니아,아시아,살구,먹을거리,2순위 · 아르메니아 국가 상징 과일 살구(학명 자체가 Prunus armeniaca). 국기는 줄무늬뿐이라 1순위 없음,두둑 피리,,,,,,,살구가 복숭아·오렌지와 혼동될 수 있어 갈라진 씨와 붉은 볼을 그림에 명시할 것. 아라라트산은 실제 영토가 튀르키예라 정치적 민감 — 제외함,final
az,아제르바이잔,아시아,꺼지지 않는 불꽃,땅과하늘,"3순위 · 국장 한가운데 타오르는 불꽃, 나라 별명이 '불의 나라'. fact에 이미 있음",비단에 무늬를 찍은 아제르바이잔 머릿수건 '켈라가이'(유네스코 무형유산),,메이든 타워 — 카스피해 바로 옆에 회색 돌을 가로로 층층이 쌓아 세운 가늘고 아주 긴 원통 탑. 꼭대기는 평평하고 톱니 난간이 둘리며 한쪽 옆구리에 세로로 붙은 버팀벽이 툭 튀어나옴,바쿠,B,Y,아제르바이잔에는 땅속 가스 때문에 언덕에서 불길이 계속 타오르는 곳이 있어요.,명소로 야나르다그(불타는 언덕)를 쓰면 상징물 불꽃과 같은 그림이 되어 제외함. 투르크메니스탄 다르바자 불구덩이와도 충돌하므로 '불' 소재는 아제르바이잔이 독점,final
bd,방글라데시,아시아,벵골호랑이,동물,2순위 · 방글라데시 국가 지정 동물. fact에 이미 있음,,황마,순다르반스 맹그로브 숲,쿨나,B,,방글라데시의 순다르반스는 세계에서 가장 큰 맹그로브 숲이고 벵골호랑이가 살아요.,호랑이는 인도 국가 지정 동물이기도 함 — 인도는 국조 공작으로 밀어 1:1 유지. 인도 카드에 호랑이를 쓰면 즉시 깨짐,final
bh,바레인,아시아,진주,땅과하늘,3순위 · 유네스코 '진주조개잡이 길'이 국가 대표 유산이고 fact에 이미 있음. 걸프 국가 중 진주는 바레인이 가져감,국기의 하얀 톱니 다섯 개가 이어진 빨강·하양 띠,딜문의 둥근 흙 도장(작은 동물 무늬를 새긴 인장),사막에 홀로 선 생명의 나무,자발 앗두칸,A,,"바레인은 30개가 넘는 섬으로 이루어진 나라이고, 옛날에는 진주잡이로 유명했어요.",,final
bn,브루나이,아시아,노란 왕실 우산,만든것,3순위 · 국기 문장(국장) 한가운데의 왕실 우산 파융. 국기에서 바로 뽑은 사물,심포르 꽃(노란 국화),야자잎 지붕 수상가옥,물 위에 지은 마을 캄퐁 아예르,반다르스리브가완,A,Y,,'물 위 집'은 몰디브 수상 방갈로와 겹치므로 몰디브는 코코넛야자로 돌려 1:1 확보함,draft
bt,부탄,아시아,국기에 그려진 하얀 용 드룩,동물,1순위 · 국기 한가운데 그려진 하얀 용. 나라 이름 자체가 '드룩율(용의 나라)',타킨(국가 지정 동물),파란 양귀비(국화),절벽에 붙은 탁상 사원(호랑이 둥지),파로,A,,,용은 중국·웨일스와 겹치는 소재 — 중국은 fact 기반 판다로 확정했으므로 용은 부탄 독점. 194개국 전체에서 다른 나라가 용을 가져가지 않도록 잠금 필요,draft
cn,중국,아시아,대나무를 먹는 판다,동물,4순위 · 중국에만 야생으로 사는 국보 동물. fact에 이미 있음,,붉은 등롱,만리장성,베이징 바다링,S,Y,"중국에서만 야생 판다가 살고, 판다는 하루에 12시간 넘게 대나무를 먹어요.",,final
ge,조지아,아시아,추르츠헬라 — 포도즙과 호두로 만든 줄줄이 사탕,먹을거리,4순위 · 8천 년 포도 재배가 유네스코 유산으로 등재된 '포도의 원조' 나라. fact에 이미 있음,가운데에 치즈와 노른자를 얹은 배 모양 빵 하차푸리,조지아 양치기 개,"설산 앞 언덕에 홀로 선 게르게티 교회 — 외관 실루엣만, 성상·의식·신도·내부 없음",스테판츠민다,B,,"조지아는 8천 년 전부터 포도주를 만든, 세계에서 가장 오래된 포도주 나라예요.","fact가 '포도주(술)'를 언급함 — 그림은 포도송이·포도밭만, 술병·잔·크베브리 항아리 절대 금지. 국기 십자가는 종교 상징이라 제외",final
id,인도네시아,아시아,코모도왕도마뱀,동물,2순위 · 인도네시아 국가 지정 동물(땅). 지구에서 이 나라 섬에만 사는 1:1 생물,바틱 천,가루다(국장의 새),보로부두르 계단식 석조 사원,마겔랑,B,,,보로부두르는 앙코르와트와 4세에게 '돌 사원'으로 묶임 — 종 모양 스투파가 층층이 올라선 형태를 강조해야 구분됨,draft
il,이스라엘,아시아,사해의 소금 결정,땅과하늘,5순위 · 국기(다윗의 별)·국장(메노라)이 모두 종교 상징이라 제외. fact에 이미 있는 사해 소금,자파 오렌지,후투티(국조),마사다 — 사막 한가운데 위가 식탁처럼 평평한 황토색 바위 대지. 옆구리에 뱀처럼 구불구불한 좁은 길이 파여 있고 저 아래로 짙푸른 물이 보임(소금·소금 기슭은 그리지 않음),마사다(사해),B,,이스라엘에 걸쳐 있는 사해는 소금이 많아 사람이 저절로 둥둥 떠요.,예루살렘 성지(통곡의 벽·바위돔·성묘교회)는 종교·정치 민감으로 전면 제외. 마사다는 결정 A로 복원하되 za 테이블마운틴·ve 탁자산과 '위가 평평한 바위' 혼동군이므로 '황토색 사막 + 옆구리의 뱀길'을 못박고 quiz.js에서 같은 판 배제. 상징물이 사해 소금이므로 명소 그림에 소금·소금 기슭을 넣지 말 것(규칙2). 사해 소금 ↔ bo 우유니(S급)는 미해소로 남아 아빠 판단이 필요하다,final
in,인도,아시아,공작,동물,2순위 · 인도 국조 공작. 국기의 아소카 차크라는 4세에게 '바퀴'라 인지 불가로 제외,인도 바닥에 색가루로 그린 동그란 무늬 '랑골리',,타지마할,아그라,S,,인도의 타지마할은 하얀 대리석으로 지은 궁전 같은 무덤이에요.,국가 지정 동물인 호랑이는 방글라데시에 넘김. 코끼리는 라오스가 가져가므로 인도 카드에서 제외,final
iq,이라크,아시아,쐐기문자를 새긴 점토판,만든것,4순위 · 인류 최초의 문자가 시작된 땅. fact에 이미 있음,갈대 다발을 엮어 세운 습지 마을의 아치 집 '무디프',,바빌론 이슈타르 문,바빌론(힐라),B,,이라크 땅에서 인류 최초의 문자와 도시 문명인 메소포타미아가 시작되었어요.,점토판은 4세 인지도가 낮음 — 갈대펜으로 꾹꾹 누른 자국을 크게 확대해 '찰흙에 그림 도장' 느낌으로 그릴 것. 대체안은 이슈타르 문 파란 사자. 사마라 나선탑은 모스크 미나렛이라 종교 회피로 제외,final
ir,이란,아시아,페르시아 양탄자,만든것,4순위 · '페르시아'라는 이름이 붙어 세계적으로 이란과 1:1로 묶이는 물건. fact에 이미 있음,사프란,페르시아 고양이,머리 둘 달린 돌 황소가 얹힌 페르세폴리스의 기둥머리 — 기둥 두 개와 그 위 황소 조각을 크게,시라즈,B,,"이란은 옛날에 페르시아라고 불렸고, 아름다운 페르시아 양탄자로 유명해요.","양탄자는 투르크메니스탄 국기(1순위)와 충돌하나, 세계 인지도와 기존 음원을 근거로 이란이 가져가고 투르크메니스탄은 국장 속 말로 이동시킴. 페르세폴리스 기둥 유적은 파르테논·콜로세움·바알베크와 4세에게 동일 — 혼동 쌍 표시",final
jo,요르단,아시아,검은 붓꽃,식물,2순위 · 요르단 국화인 검은붓꽃(블랙 아이리스). 국기는 별·삼각형뿐,베두인 검은 염소털 천막,요르단 모자이크 타일,바위를 깎아 만든 페트라 알카즈네,페트라(와디무사),A,,붉은 바위산을 깎아 만든 신비한 도시 페트라가 요르단에 있어요.,아라비아오릭스는 카타르 국가 지정 동물이라 요르단 예비에서도 뺌. 사우디 마다인살레(헤그라)가 페트라와 같은 양식이므로 사우디 명소는 사막으로 돌림,draft
jp,일본,아시아,벚꽃,식물,2순위 · 일본을 대표하는 사실상의 국화. 국기는 동그라미뿐이라 1순위 사물 없음,초밥,마네키네코(손 흔드는 고양이),후지산,시즈오카·야마나시,S,,"일본에는 화산이 많아서 온천이 아주 많고, 가장 높은 산은 후지산이에요.",도쿄타워는 에펠탑과 4세에게 완전히 같은 그림 — 혼동 쌍이므로 후보에서 전면 배제함,draft
